"distance";"SD mortality class 1";"SD mortality class 2";"SD mortality class 3";"SD mortality class 4";"SD mortality class 5";"SD mortality class 6";"SD mortality class 7";"SD mortality class 8"
0,2;0,25639153978859;0,289111795633612;0,335787812839775;0,375077400999472;0,342240999469011;0,222193210635608;0,0469297172569754;0,00904019748869145
0,5;0,301945843980809;0,330779124298421;0,365316165482396;0,377814922316232;0,308907535329586;0,17568370279899;0,0250654718832086;0,00349776957961706
1;0,305260621644504;0,338913679816752;0,372254202838762;0,358617545448734;0,2689537363381;0,139858871617105;0,0129800723005924;0,00149887642790279
2;0,312815544677058;0,349498256121529;0,377013192211517;0,331415283041746;0,211204028638465;0,0803534188807483;0,00418501218906066;0,000453562909562361
5;0,320721162491184;0,356800965146302;0,368296500273276;0,285717457712441;0,161361308564838;0,0608077521501312;0,00530439885496793;0,000628038765103634
10;0,342362152920688;0,373986009214713;0,366732926045112;0,246049828339219;0,122242322752562;0,0370276975394671;0,0018923262469828;0,000205315423923005
15;0,342365821637783;0,374741394934107;0,361982266589613;0,249088529354627;0,132388801310714;0,0464988568642583;0,00448110485256459;0,000528419521507984
20;0,34433245509422;0,372714577932035;0,349092875604709;0,215587514550463;0,100912512288444;0,0373799313833547;0,00279534550211834;0,00031152183027286
30;0,350598411661345;0,372813687186708;0,332166800120358;0,179206398942664;0,0724317663145851;0,0197208674502578;0,00081284907779949;8,64815069085498e-05
40;0,363138282589606;0,375993697516526;0,326551257174163;0,17945621273613;0,0760383949740801;0,0187060763953177;0,000625375858719862;6,59460353069531e-05
50;0,370551952548403;0,373222332249689;0,314598391519607;0,159970335269209;0,0599735797038224;0,0112055774582918;0,000308048342205138;3,22653506438018e-05
60;0,359800134679362;0,370292257492011;0,312462371956101;0,165360246669126;0,0594569414229684;0,0101694690547615;0,000272959337369856;2,85723091954551e-05
70;0,366505171879113;0,3586367902385;0,279889992284111;0,124778894961884;0,0424814687387337;0,00738758861790038;0,000198647887537011;2,07941706449618e-05
80;0,363129705852624;0,364491306677925;0,290722080041071;0,129740046699084;0,047171875092195;0,0114719560109353;0,000369218058328072;3,8860604705534e-05
100;0,360393164360917;0,359377122418227;0,281600778702377;0,125256101421696;0,0483059215400953;0,0142411500415838;0,000529478978877648;5,60114461988893e-05
120;0,377682913720717;0,351256220145262;0,259173510024204;0,109899533824734;0,0362104933097631;0,00653419501719378;0,000179370363563844;1,87871296910885e-05
140;0,377679978578122;0,347040730004497;0,256862525597552;0,102644047135242;0,0382292303253347;0,0109684823471236;0,000373173752638919;3,93368930686322e-05
160;0,383078179135163;0,349286387592275;0,248842524871036;0,0912122017904256;0,02260393793704;0,00310460640980658;7,92770182551652e-05;8,28797446471685e-06
180;0,371983224879175;0,338152185995738;0,232668952507235;0,0857885706374941;0,0227558318603827;0,00321895416228894;8,25778050848582e-05;8,63398493979326e-06
200;0,372050150275908;0,326000105963192;0,222145908870945;0,0918023136636277;0,0337593443949309;0,00703432516378673;0,00020222668468418;2,12076226333948e-05
300;0,369365225883148;0,31734325438673;0,203644917510432;0,0699033388444922;0,0191106715718985;0,00271461490512692;6,96279667764892e-05;7,27995366017145e-06
400;0,369708526920911;0,309037423461977;0,192398250629902;0,0591705323919399;0,0128898521641626;0,00165506524808882;4,17320760516246e-05;4,36153175546224e-06
500;0,365764730515692;0,30238610338077;0,191276464076754;0,0603369162565177;0,0166900306209533;0,00247301909375015;6,40234746311168e-05;6,69550101206134e-06
600;0,35634608835851;0,281924068610737;0,166147139385579;0,0556687615598298;0,0174311576785183;0,00285903384490815;7,56346201694848e-05;7,91397726937971e-06
700;0,361608950764737;0,27506816104426;0,158585549657944;0,0462142664391394;0,00925436990595256;0,00115128302117824;2,88890118287088e-05;3,01892713648285e-06
800;0,356019723298244;0,261238363091943;0,137387415868268;0,0405358463955561;0,0102560652470471;0,00139206071159025;3,54097235420004e-05;3,70152713036752e-06
900;0,3473388570888;0,25769022094197;0,145571179135389;0,0379155520799351;0,00718154640442149;0,000880997162469865;2,20626117577826e-05;2,30545569498181e-06
1000;0,349763429845163;0,260784164556196;0,149578003735119;0,0447236016579373;0,0100711538539107;0,00130957979704988;3,30860013766456e-05;3,45806703295163e-06
1200;0,336160364690091;0,230509493126216;0,116499055992467;0,0345488581152899;0,00790280967697156;0,00103113352306366;2,6064264665753e-05;2,72420432961421e-06
1500;0,331038045639383;0,231534253418217;0,120023039071439;0,0269823426510874;0,00471503591079119;0,000567598953111538;1,41770330495281e-05;1,48135437304684e-06
2000;0,32844417872553;0,22250712728838;0,111568054958703;0,0225903589251715;0,00385776109133032;0,000463447644879883;1,15731869245175e-05;1,20927356273645e-06
