"distance";"mean mortality class 1";"mean mortality class 2";"mean mortality class 3";"mean mortality class 4";"mean mortality class 5";"mean mortality class 6";"mean mortality class 7";"mean mortality class 8"
0,2;0,939281891739574;0,934054028476412;0,920901547981474;0,871641256037034;0,787047906763955;0,60027940778233;0,100346011247832;0,0127197783129625
0,5;0,916227043738955;0,906199778803181;0,883789964181794;0,813005339061707;0,698403735912734;0,460549835933298;0,0444255046190671;0,00506522640850321
1;0,919066496100738;0,906943185508216;0,881943744355207;0,801573020768659;0,656035183695674;0,364729041171812;0,0233966976124437;0,00255595679116548
2;0,924890986171536;0,904669107476334;0,866784607510703;0,759708043418689;0,582882664857282;0,273005055697896;0,0131865986472847;0,00141231496727828
5;0,916160491194315;0,895320986458637;0,850870452202799;0,713173722962374;0,477138831580861;0,158278316287879;0,00554944178837405;0,00058569812261867
10;0,904520531305932;0,872464011447159;0,811039806580187;0,62934707154692;0,360765448853048;0,0913177688137164;0,00276198323494994;0,000290066474579782
15;0,910532916628953;0,877468508012863;0,809965966666521;0,604762540929866;0,311696221884816;0,0681166577111063;0,00194436134961679;0,000203854330919446
20;0,921438555763987;0,87924143690595;0,797575347012288;0,570127342590088;0,269567573552421;0,053495918917552;0,00148176561315289;0,000155227348697029
30;0,910567209541752;0,865888492514712;0,7812905595373;0,525627901939278;0,219696705390858;0,0388971906470377;0,00104407843998303;0,000109286005073452
40;0,88646604826056;0,834731087790693;0,744328965168333;0,478419377567021;0,181309279615312;0,0296693860409329;0,000781735891805902;8,17877300374685e-05
50;0,890190045375675;0,832115747332235;0,723332327669294;0,426463866964856;0,143678353743246;0,0219487939110772;0,000570387716504754;5,96556833737731e-05
60;0,888024646509178;0,834439766551184;0,72620368168154;0,423486823671688;0,138257150629783;0,0206091586242038;0,000532800538268439;5,57174059028913e-05
70;0,895850904742785;0,830236521351004;0,704313466097716;0,377471495317076;0,113830653761107;0,0164239860367465;0,000422197516262024;4,41451509834794e-05
80;0,890419689691696;0,834178373564272;0,715911077983865;0,384372801236685;0,11197188448621;0,0158058776878635;0,00040463874492157;4,23050051264621e-05
100;0,888665256996534;0,8273674013759;0,697189737992065;0,344229027077133;0,0921436907507804;0,0125594852272826;0,000319622993427073;3,34118872961899e-05
120;0,867330949102695;0,791690382035289;0,646615893244641;0,302609457761917;0,0767443711433944;0,0102321732578995;0,000259449564749874;2,71193085291821e-05
140;0,859086691838142;0,783234835107506;0,634256916712454;0,276571035540071;0,0656966344708722;0,00856578996233884;0,000216438895419101;2,2621709552158e-05
160;0,843967623244476;0,756757799806764;0,602315728361057;0,252336745147311;0,0577137497188522;0,00742951619418276;0,000187358733610462;1,95814154059836e-05
180;0,864346303253188;0,777085499289591;0,613159219147969;0,245363579992286;0,0543158439660865;0,00692839021189872;0,000174485421298411;1,82354149339975e-05
200;0,849000663856184;0,759106843706941;0,589135262736841;0,2245096089198;0,0479280049841361;0,00604623100508182;0,000152016545174307;1,58865861054665e-05
300;0,851245308772056;0,757064859055322;0,562276246236664;0,180313185770706;0,034467601405953;0,00422549607121737;0,000105804018617335;1,10560665141493e-05
400;0,834727631672567;0,726113605572399;0,518815274004731;0,148940838603253;0,0268007959913326;0,00323988319637577;8,09667099445102e-05;8,46029353836201e-06
500;0,82123743865757;0,704320166248013;0,483733017238091;0,126687240449;0,0219280082839702;0,00262907722269626;6,5628391702881e-05;6,85739959665985e-06
600;0,828962595367023;0,695564246360087;0,460329990741519;0,111211836598088;0,0186186242273704;0,00221721758763212;5,52966461859714e-05;5,77773135541496e-06
700;0,796796170318668;0,664709994397354;0,431181464529573;0,098776252453449;0,0162266252203727;0,0019253907179957;4,79954017976262e-05;5,01479718835778e-06
800;0,788062610055826;0,652897207528253;0,409033865650831;0,0866889483801352;0,0138992288717043;0,00164194696341223;4,09058517043939e-05;4,27398851344463e-06
900;0,795970428768317;0,655007487066153;0,396877906932091;0,0791280947544743;0,0124729687664385;0,00146898638221211;3,65821969716446e-05;3,82220258482728e-06
1000;0,798192787911137;0,651936565060124;0,392373836057959;0,0764491972395547;0,0119554649227367;0,00140603613520848;3,50079766077603e-05;3,65770824851012e-06
1200;0,762880536435003;0,602348310776138;0,340973319965328;0,0608714029058018;0,00932235128680707;0,00109246664577548;2,71879373393521e-05;2,8406235212378e-06
1500;0,755283412661281;0,584429484024942;0,314702304007229;0,0513433689746509;0,00769840103002141;0,000898986815179345;2,23625895525157e-05;2,33644172098336e-06
2000;0,731003777440886;0,5488398468168;0,271808608367439;0,0396474332137734;0,00581757914478745;0,000677003233337824;1,68331235796811e-05;1,75870548992566e-06
