"distance";"SDERR mortality class 1";"SDERR mortality class 2";"SDERR mortality class 3";"SDERR mortality class 4";"SDERR mortality class 5";"SDERR mortality class 6";"SDERR mortality class 7";"SDERR mortality class 8"
0,2;0,0056173642973383;0,00593893610742399;0,00649990714484943;0,00786337868479237;0,00952458585425166;0,0111920504987105;0,00390439749092555;0,000553580835801549
0,5;0,0073784503092875;0,00769674040140773;0,00825127000137303;0,00956512748629693;0,0110941949190994;0,0112921941531685;0,00194220410666994;0,000233282700208174
1;0,00702472518676106;0,00742543914307682;0,00820013780929128;0,00971727522963859;0,0110939250271034;0,00999715986935935;0,00102743428338803;0,000115496445953348
2;0,00697394935744302;0,00737408126407695;0,00822870616354846;0,0102757347833115;0,0115234443305741;0,00864108955365747;0,000580637768990849;6,31082211207612e-05
5;0,00704062209886249;0,00751494219278666;0,00854942974671248;0,0105834595010974;0,0108558161152311;0,00564595010821682;0,000241189330043256;2,5619521931601e-05
10;0,00725317982389512;0,00807371037002506;0,00935088935624061;0,0113538866287216;0,0100726675503732;0,00365784627446169;0,000124318128641702;1,30987714360998e-05
15;0,00683331801788904;0,0079321410562962;0,00926395748721544;0,0111224319110956;0,00904319073541203;0,00271279597415766;8,41603053898156e-05;8,8433583519651e-06
20;0,00632880691914813;0,00729669019178962;0,00910277266992373;0,0111803436116254;0,00827497547718893;0,00217875184952039;6,4588837225971e-05;6,77818543656041e-06
30;0,00673719327702866;0,00804821168425763;0,00973241528295224;0,0110049535882657;0,00716702197802012;0,00159604014055018;4,48846139509992e-05;4,70359097473091e-06
40;0,00769004609803756;0,0089152256655348;0,0105981805917113;0,01110783377462;0,00630392045729302;0,00124425880628512;3,39607864026558e-05;3,55619167609227e-06
50;0,00753276195246476;0,00872466855997684;0,0104427856906769;0,0106584115311954;0,00533541266160001;0,000963253895519359;2,57911716415812e-05;2,69939527956112e-06
60;0,00770123885788666;0,00890664943472879;0,0104275788681995;0,0105161199421808;0,00496543123409046;0,000854773949220143;2,26472636827813e-05;2,3697273612852e-06
70;0,00696073524115618;0,00847666948855444;0,0103837594139176;0,0100690651072469;0,00444561188279363;0,000735837617296324;1,93511347385539e-05;2,02444766631098e-06
80;0,0075851106534078;0,00880090623885589;0,0103416999169566;0,00980244668403116;0,0040865313437266;0,000652609062780536;1,70426953886168e-05;1,78264770357291e-06
100;0,00764601906314301;0,00896031700216709;0,0104125268093239;0,00928395745392736;0,00349977035913676;0,000529383929943706;1,36880230809469e-05;1,43142325072822e-06
120;0,00845987203398512;0,0096900353779366;0,0111660626764147;0,00919703845540096;0,00313145110641621;0,000454112349260225;1,1661685936425e-05;1,21931284090216e-06
140;0,00861608502932618;0,00995099192482029;0,0111907987972037;0,00857824376956959;0,00269636206056125;0,000378914995220453;9,68136409915763e-06;1,01213620431328e-06
160;0,00838224714441113;0,0102693741047949;0,0116558018969025;0,00836720887144327;0,00247004907267763;0,000339419033851955;8,64019815102427e-06;9,0320888172713e-07
180;0,0079044007782531;0,00960495350423511;0,0111324751594995;0,0078922525137758;0,00226785014889583;0,000308596100498804;7,84536195643689e-06;8,20095295889176e-07
200;0,00871127482705278;0,0101213954418245;0,0113232483950386;0,00757140260665549;0,00204442333204393;0,000272570808639348;6,90618554552432e-06;7,21864067883161e-07
300;0,00857470476611023;0,0100813181992431;0,0109129946788501;0,00616226233655672;0,00143738848932919;0,000183681286885657;4,62533699120345e-06;4,83391452733626e-07
400;0,00853332557952787;0,0104096904119149;0,0110927224722757;0,00536538929806554;0,00113583478695459;0,000141692115567948;3,55585626470596e-06;3,71590852933871e-07
500;0,00933842420386003;0,0107110638161575;0,0109715393460564;0,00476739654821802;0,000949705951721355;0,000116820352907616;2,92619443910464e-06;3,05777230391843e-07
600;0,0086840385720286;0,0103690764552492;0,0107403173133563;0,00422658637619204;0,00079638981376256;9,68365990386087e-05;2,42172887912834e-06;2,53053100876613e-07
700;0,00958215753146156;0,0111341839900436;0,0108626877374987;0,00392339040126585;0,000716868339333402;8,66573476220057e-05;2,16542650451646e-06;2,26267037256047e-07
800;0,00990021065526211;0,0112510108215215;0,0105676458281748;0,00348586189337675;0,000615234706221395;7,38835996411223e-05;1,84462828890671e-06;1,92742787934421e-07
900;0,00971385535327459;0,0110359080901416;0,0101499565126893;0,00315187512410587;0,000543631807310878;6,49873479661757e-05;1,62149087247989e-06;1,69425001356826e-07
1000;0,00967980362809296;0,0109382462236701;0,0100805873748279;0,00298781050506785;0,000507297410022124;6,04714780064374e-05;1,50829222369125e-06;1,57595909664523e-07
1200;0,0102435656574607;0,0114356985065158;0,00987106194619818;0,00259909876810716;0,000427215545846382;5,0634790054819e-05;1,26198024474993e-06;1,31857400563937e-07
1500;0,0103052080528972;0,0114153427800705;0,00932071432145361;0,00214689368254021;0,000341018833175591;4,01876193496837e-05;1,00085079117336e-06;1,04571615446978e-07
2000;0,0107186223517451;0,0115154328142861;0,00853961556200891;0,00170373744598921;0,000261924316017517;3,06986886969733e-05;7,6399800733221e-07;7,98233117318724e-08
