"distance";"SD mortality class 1";"SD mortality class 2";"SD mortality class 3";"SD mortality class 4";"SD mortality class 5";"SD mortality class 6";"SD mortality class 7";"SD mortality class 8"
0,2;0,236406561457609;0,243516153652425;0,255355507592155;0,266361487370102;0,247762599121061;0,185057686773107;0,0602192262234696;0,0232766740092617
0,5;0,27135671104287;0,278704101123309;0,286723300088943;0,279414880348253;0,236751243205383;0,155640443745156;0,0427912648428907;0,0158581288466766
1;0,265270772886792;0,27297345172368;0,277849895569059;0,259365566332489;0,206424619093333;0,124689493897535;0,0310429035801842;0,0112533893231507
2;0,257354416967082;0,27034623156105;0,277275912157509;0,250374779776019;0,187310717703478;0,104743263159841;0,0241278767062314;0,00861190716917685
5;0,264640284751726;0,271741285769728;0,268154454300594;0,220233510536822;0,148515216660282;0,0748798312935878;0,015803688282622;0,00555201895691248
10;0,272747451876085;0,279279338964892;0,267893837668433;0,202387110291934;0,125373676539555;0,0587513145127286;0,0117572966829516;0,00409403053934623
15;0,261284489476167;0,267740561365762;0,2536169123756;0,183873967276908;0,109430886762124;0,0496305647322163;0,00971044671192202;0,00336896404459658
20;0,248654320661673;0,25884826225752;0,245181702951593;0,172718359242006;0,0998465923870711;0,0443022905449307;0,00854644719515035;0,00295857275844638
30;0,255005273401126;0,259707044627295;0,2376260727665;0,158481268096086;0,0880673177524055;0,0380095695573145;0,00720710391621312;0,00248827941676883
40;0,277538772923852;0,274677879468141;0,241683219047836;0,151948147017366;0,0813522989763065;0,0342975225087621;0,00641480223592497;0,0022101783165358
50;0,26943222620885;0,264833359776183;0,229343183073179;0,139019239891342;0,0725075870839011;0,0300654287558686;0,00556964587028277;0,00191624356500821
60;0,271474828824918;0,263522390555454;0,225991523202248;0,134945022448946;0,069606660152468;0,0286513004869722;0,00528468902033;0,00181701571285502
70;0,255893752590504;0,252020613186213;0,215228308538952;0,126195888551698;0,0642953864540754;0,0262689032067162;0,00482509001353115;0,00165797303314767
80;0,262539271246201;0,2527608500186;0,212077803916654;0,121773617975107;0,0612983532132329;0,0248661806458126;0,00454927432845567;0,00156228175085302
100;0,259522666106195;0,246575886116852;0,202735322969326;0,112881762508465;0,0557978966323823;0,0223953184037419;0,00407323207200398;0,00139759869687373
120;0,273318433682043;0,256403957750081;0,206392083066031;0,111132738550825;0,0539164340927091;0,0214166454471069;0,00387363622447751;0,00132804467089404
140;0,275176518122024;0,253137053006704;0,198882316355068;0,104006908875099;0,0497230836886784;0,019594397622267;0,00352912221853744;0,00120919460482675
160;0,279474244829678;0,256597392176544;0,198876738488664;0,101732625464034;0,0480720257638954;0,0188254592941806;0,00337948622958984;0,00115737692487748
180;0,262851841897338;0,242613245608548;0,188111541891957;0,0958040827851631;0,0451258691768707;0,0176386752072225;0,00316321582058722;0,00108315010906832
200;0,272019343956941;0,245470064375376;0,186553174545264;0,0929384771354322;0,0433120946289356;0,0168349361672503;0,00301025616589995;0,00103034166058112
300;0,259654202512444;0,227493816620467;0,166232756631065;0,0787459049770564;0,0358069498232099;0,0137412053292974;0,00244092895299188;0,000834689259080866
400;0,259996964897847;0,223909117042751;0,158764852070629;0,0723818136789724;0,0323393599827493;0,012301517668551;0,00217544743203681;0,000743435930102328
500;0,262155038690034;0,220138716786656;0,152240835502456;0,0676061476275837;0,0298660859025297;0,0112978100289858;0,00199238888128629;0,000680610019693438
600;0,248889469990069;0,209247113035141;0,143184211747274;0,062463324382838;0,0273580520179987;0,0103044154691252;0,00181323177880067;0,000619217469248672
700;0,262274118980384;0,214015201853696;0,142754491963917;0,0609293982030114;0,0264691758489552;0,00993194140497142;0,00174446060710881;0,000595578371221822
800;0,260294437199841;0,208195100390708;0,136079614237424;0,0569559549731796;0,024553596919989;0,00917995104137955;0,00160952496041871;0,00054937363051448
900;0,250800802315091;0,198917181797783;0,128720670389225;0,0533022796277792;0,0228767127221159;0,00853483407025094;0,00149484146192931;0,000510153719264432
1000;0,249166621120501;0,196898819694522;0,12666867693131;0,0520807673901649;0,0222862302287832;0,00830283333325584;0,00145319974801624;0,00049589427095311
1200;0,251861843335953;0,194136671081179;0,121700827514825;0,0488678511621644;0,0207269120961142;0,00769048504354901;0,00134336051546029;0,000458285899899691
1500;0,245717017075228;0,185582579540536;0,113660862816622;0,0446282349362917;0,0187687513106449;0,0069367830880698;0,00120940938878608;0,000412479640407069
2000;0,24108243205004;0,17579059781322;0,104168345105617;0,0397691001125539;0,0165585009382893;0,0060922925676286;0,00105986654361171;0,000361367563372811
