"distance";"median mortality class 1";"median mortality class 2";"median mortality class 3";"median mortality class 4";"median mortality class 5";"median mortality class 6";"median mortality class 7";"median mortality class 8"
0,2;0,999995082226796;0,999814755188741;0,994694595974863;0,832683393405742;0,333273432339818;0,0515310023847507;0,00133562358519937;0,000139683456146233
0,5;0,999965348715504;0,998765341196505;0,976059516864824;0,611068878865672;0,162305544058215;0,0215306736900122;0,000544810084243342;5,69437337393231e-05
1;0,9998750288064;0,996690411226384;0,945030897748347;0,450576858416641;0,0949715892970734;0,0117577846849541;0,000294748340474576;3,08005442147819e-05
2;0,999760986191357;0,993771668376394;0,906992112887035;0,353236341941804;0,0665446510828421;0,00807235013885014;0,000201789858458534;2,10853416410806e-05
5;0,998393847261373;0,970637289339689;0,749206427918491;0,164973353299397;0,0256121362320085;0,0030076686826099;7,48579796953364e-05;7,82125453840932e-06
10;0,994806296850085;0,922262580898656;0,557957716670686;0,0821063648578151;0,0119156420694248;0,00138403152194782;3,44061142527885e-05;3,59469547214774e-06
15;0,992948753857102;0,900023127193272;0,497485660136541;0,067363043087433;0,00967461710010561;0,00112217605538353;2,78890805798237e-05;2,91378844327617e-06
20;0,985175872258887;0,832960385591294;0,375451238039321;0,0436063031809898;0,00616916071185428;0,000713882824182249;1,77372329557835e-05;1,85313510020491e-06
30;0,977579288012244;0,785018900115914;0,323716262557163;0,0352623602676606;0,00494383791390047;0,000571462385882932;1,41966442950836e-05;1,48321983275968e-06
40;0,969994283073309;0,740061423030431;0,266706668053764;0,0271168449991529;0,00377493991000838;0,000435838032026625;1,08257607190354e-05;1,13103688842431e-06
50;0,95604095534838;0,684168263205433;0,226377086518265;0,0220818471747659;0,00306159932018304;0,000353275032226708;8,77434295964985e-06;9,16710550580291e-07
60;0,951565273294537;0,669471091340945;0,209755590055571;0,0202469266755955;0,00280418668603258;0,000323543672393234;8,03580582137143e-06;8,39550724718308e-07
70;0,920697278697469;0,562757733078046;0,153613522623992;0,0140871902830759;0,00194288342859814;0,00022400502041986;5,56306623417102e-06;5,81206984151539e-07
80;0,938989520511949;0,610624634306682;0,175259673133905;0,016229381416564;0,00224080864789239;0,000258399154328876;6,41737083018068e-06;6,70461659801891e-07
100;0,903761872989081;0,506710346150477;0,127048465976197;0,0113781662034977;0,00156604840387095;0,000180520240712106;4,48302243369336e-06;4,68368031136813e-07
120;0,877824395357161;0,448480757765935;0,102886134575687;0,00898852844060719;0,00123470181077487;0,000142275003401304;3,53308449643764e-06;3,69121982257691e-07
140;0,837949516567943;0,380048015585443;0,0832705564429363;0,00713617488713367;0,000978532682284955;0,000112728663027084;2,79927860291629e-06;2,92456783096418e-07
160;0,840637268370238;0,381638136736248;0,0831758635542838;0,00714861267360431;0,000980157299225821;0,000112914507964856;2,80388936152454e-06;2,92938485774163e-07
180;0,775069337697715;0,307286685397029;0,0611797548579501;0,00514177746918154;0,000704009055416843;8,10861525831208e-05;2,01347835185328e-06;2,10359571040097e-07
200;0,7432082938605;0,278697839939425;0,0539818023235916;0,00450476166479846;0,000616394374641532;7,0988513463599e-05;1,76272026539137e-06;1,84161395161419e-07
300;0,7033614681205;0,239425738541666;0,0446125733353493;0,00370418545877682;0,000506642298965132;5,83448586212731e-05;1,44875290505885e-06;1,51359413724794e-07
400;0,661288529460518;0,209194038695428;0,037913640307412;0,00312301788653808;0,000427003640059403;4,91716516576868e-05;1,2209679089159e-06;1,27561411017441e-07
500;0,569789101891155;0,158635293159408;0,0275972299048436;0,00225859534876232;0,00030864205257794;3,55389537868566e-05;8,82449411571118e-07;9,21944516285577e-08
600;0,565637303655151;0,155481824703529;0,0272674986267498;0,00223326778307526;0,000305206684499765;3,51437988883874e-05;8,72638830862194e-07;9,11694882643754e-08
700;0,466042121717225;0,112205595637839;0,018797737361388;0,0015274723683523;0,000208606182671239;2,40181700177089e-05;5,96376365652463e-07;6,23067767935304e-08
800;0,402849593057643;0,0904444901024976;0,0149012831034002;0,00120677511343603;0,000164767291502055;1,89700496127099e-05;4,7102834013768e-07;4,92109619720793e-08
900;0,396643089636743;0,0870666704110078;0,0143209309989006;0,00115892533053364;0,000158207766446677;1,82144687153885e-05;4,52266029626891e-07;4,72507558635371e-08
1000;0,463901229569232;0,110008423451574;0,0184877827616258;0,00150339382800458;0,000205329393051123;2,36410792548159e-05;5,87013709807404e-07;6,13286091633025e-08
1200;0,320863166356725;0,065577354240772;0,0105814658432774;0,000853874431142986;0,000116551576744645;1,34183389491893e-05;3,33177135658502e-07;3,48088726453977e-08
1500;0,274520787070921;0,053692467950586;0,00857872436617702;0,000690850084264588;9,42838390892431e-05;1,08544537926747e-05;2,69515130713049e-07;2,8157746273516e-08
2000;0,233110736354964;0,0438690918657827;0,00696911059052152;0,000560504578121651;7,6488100824973e-05;8,80560455471247e-06;2,18642038835038e-07;2,28427503023987e-08
