"distance";"SDERR mortality class 1";"SDERR mortality class 2";"SDERR mortality class 3";"SDERR mortality class 4";"SDERR mortality class 5";"SDERR mortality class 6";"SDERR mortality class 7";"SDERR mortality class 8"
0,2;0,00663606895696664;0,00750641027513916;0,00855359724493907;0,00960466531640192;0,00937750974321668;0,0076250210104199;0,00328181947999962;0,00149302452761072
0,5;0,00814225076878236;0,00880950207022642;0,00954792166297341;0,0100004019291039;0,00913862604789462;0,00684486370334264;0,0025461086157967;0,00107623322558384
1;0,0081724186316458;0,00894265371060052;0,0096698188360527;0,00975172749565338;0,00847530217440267;0,00599151186847014;0,00202146741217215;0,000810846855935672
2;0,0081869008078788;0,00909738077220077;0,00977775394933882;0,0093455948912139;0,00750153069019688;0,00472238417826169;0,0013125055788687;0,000493778140892455
5;0,0083579648729977;0,00914957058643579;0,00955497758727501;0,00855086124828253;0,00643237147769185;0,00382431120901701;0,00104929323655463;0,000401709167783897
10;0,0088376307980957;0,00959716023035543;0,00972874217345375;0,00809444238508792;0,00567594668926908;0,00312810865349652;0,000762808218315816;0,000278985765600279
15;0,00885871795795091;0,00961300180022058;0,00968386504145741;0,00807694731864653;0,00577234682044889;0,00329756576041623;0,000878304899410652;0,000335978502966537
20;0,00863090419340705;0,00945109532176799;0,00941340924119681;0,00748928061023977;0,0050740428555568;0,00275400310098621;0,000702246921648641;0,000263532020071684
30;0,00885474207081726;0,00952958460125898;0,00921682594944107;0,00688160613482007;0,00436996569464464;0,00218760138402339;0,000485222909494678;0,000173635601534756
40;0,0094119771254021;0,00981231205694706;0,00927581211405149;0,00683342823841399;0,00436545896478919;0,0022063677968127;0,00048796675702266;0,000173820973116359
50;0,0095719734389686;0,00984484441359409;0,00909999999413724;0,00646692613599708;0,00397686063390119;0,00192093805465628;0,000401384951204201;0,000140956446460988
60;0,00930331108087434;0,00964707545966326;0,009006796575972;0,0064902169842023;0,00402588881636104;0,00193945344439446;0,000401492623704618;0,000140694896560467
70;0,00920594212518998;0,00941466766208522;0,00844971586879717;0,00564877312554657;0,00331854747697269;0,00154629069996765;0,000314639509445653;0,000110027975223489
80;0,00917630169533463;0,00948508608903466;0,00863310309266066;0,00582449714733572;0,00343129561390171;0,00162128441870511;0,000341150026808483;0,000120461374316495
100;0,00920191356509691;0,00939587631876709;0,0084804138637515;0,0056909609302327;0,00337251329455792;0,00162631068028026;0,000356484775225191;0,000127244545311478
120;0,00972495569321321;0,00957448171510006;0,0082715488431314;0,00528870127746332;0,0030308245893654;0,00138946323813611;0,000279999469315855;9,78097899745339e-05
140;0,00985864372000956;0,00956339223899439;0,00819055754119561;0,00516344293735269;0,00292986046166394;0,00136293362403966;0,000288653129017618;0,000102501832817546
160;0,0099242519126406;0,00965189064058871;0,00817541155874599;0,00500610513120654;0,00272910447939701;0,00118569886052174;0,000227461520511297;7,87172387397307e-05
180;0,00932687173758211;0,00918770950970546;0,0077602182683885;0,00468756452657277;0,00254845824701733;0,00110954618936892;0,000213484213706771;7,39195544298159e-05
200;0,00961320441522863;0,0091636930873171;0,00759696219212053;0,00463596258476745;0,00261980921268678;0,00120772499225057;0,000248086483373015;8,70699992925452e-05
300;0,0096232185932161;0,00903373212994335;0,00729156434070909;0,00418153953374931;0,00222198430300301;0,000958915252200368;0,000184226060748806;6,37793345566566e-05
400;0,00966917389068768;0,00896799134228743;0,007110742982753;0,00395944222156199;0,0020316799981847;0,000846587680238894;0,000157932543769419;5,4413622554418e-05
500;0,00977077366226823;0,00891770174382369;0,007055444865261;0,00395715088269266;0,00205820299184103;0,000874791070887501;0,000166720150660854;5,7645416524517e-05
600;0,00931093524967558;0,00843321495255932;0,00650522122894034;0,00355827789365006;0,00186353645872737;0,000807075735089612;0,000156743171874311;5,44187834069591e-05
700;0,00968506457995415;0,00857129554139506;0,0064648162599315;0,00342015981543627;0,00171447276205809;0,000704006938680989;0,000130246619912833;4,48106722864733e-05
800;0,00979548013946313;0,00842145639870178;0,00614686704796821;0,00311464214034061;0,00154569469796004;0,000638942353684111;0,000119454351861099;4,11864742048885e-05
900;0,00937017196205732;0,00815211713942159;0,00605484947518772;0,003131978933385;0,00154074869597662;0,000624214617209785;0,000114486038476105;3,93372842676604e-05
1000;0,00957148146166178;0,00828318195220945;0,00616315148608666;0,00323861975027471;0,00162853249535438;0,000673697978949802;0,000125590490289763;4,32602883686459e-05
1200;0,00940284055353105;0,00783168717150982;0,0055297116795877;0,00272664418783742;0,00133814923210464;0,000548503746771886;0,000101852292831328;3,50824617434642e-05
1500;0,00931871087922421;0,00775874862987661;0,00551294624376265;0,00269374307147474;0,00127937556967339;0,000506557401952207;9,16942662861206e-05;3,14425943998645e-05
2000;0,00942993256156303;0,00772353034260664;0,00538886955751935;0,00256660802658367;0,00120043099185539;0,000470688667408115;8,47059883496981e-05;2,90248991643045e-05
