"distance";"SDERR mortality class 1";"SDERR mortality class 2";"SDERR mortality class 3";"SDERR mortality class 4";"SDERR mortality class 5";"SDERR mortality class 6";"SDERR mortality class 7";"SDERR mortality class 8"
0,2;0,00784883243805851;0,00835129610935963;0,00891179213333801;0,00903366765161857;0,00806726828041538;0,00599615485414529;0,00231594459567742;0,00101489973923596
0,5;0,00892737796154959;0,00929570551759828;0,00953776828238951;0,00903339228539385;0,00755799559873795;0,00519525562282278;0,00174510889465169;0,000712529822632349
1;0,00889964072363477;0,00927830855914325;0,00941020442506201;0,00853986143301482;0,00681843703070459;0,00444869882175591;0,00136596241704132;0,000533304963333508
2;0,00885589646107079;0,00926772335314534;0,00923436991208111;0,00786949621833306;0,00578500159761006;0,00336372912971465;0,000862771430492134;0,000318329897305604
5;0,00889636029428082;0,00911451141442227;0,00877703197557492;0,00700323959380158;0,00487293110803868;0,00272189655885836;0,000700509308943162;0,00026302299981019
10;0,00922879773592234;0,00929894578024191;0,0086462403701682;0,00640887057163068;0,0041643467403489;0,00215733422921363;0,000496883479571964;0,000179411527191743
15;0,00911767541139512;0,00922500872028863;0,0085934952971103;0,00645287405917304;0,00429610891750442;0,00231354819292496;0,000579646832502071;0,000217240003667853
20;0,00886811604673999;0,00895789050354879;0,00818896498016171;0,00584744281510635;0,00370294191299282;0,00191186223191898;0,000464383172868332;0,00017183542988817
30;0,00893700367712331;0,00883162871796315;0,00779983074378429;0,00521488955617276;0,00310353096711743;0,00148406943666305;0,000317208193828069;0,000112573677044035
40;0,00930617767285596;0,00899647481338394;0,00782420668637663;0,00520826173796759;0,00312391184089834;0,00150332089562007;0,000318730217998768;0,000112572199391059
50;0,00936410984117108;0,00891659318022835;0,00759828141214216;0,00487659322321205;0,00281586308478838;0,00129756273281707;0,000261908437527656;9,14788522146436e-05
60;0,00914358881127925;0,00876371609781113;0,00753280315192063;0,00489802043745458;0,0028451499153123;0,0013072122451609;0,000261753067244737;9,12533978653674e-05
70;0,00892596470329059;0,00837043819841424;0,00689221010156824;0,0041655624127848;0,00230328024502581;0,00102651465160904;0,000202204452566799;7,03301317267078e-05
80;0,00898271193280704;0,00849513750059527;0,00707046252400858;0,0043167235887029;0,00240819481178189;0,00109465019953119;0,000222972003817427;7,82107283404234e-05
100;0,00886103813360577;0,0083395260758864;0,00690812596184433;0,00420513264775407;0,00235984851227348;0,00109203890654613;0,000229839836404235;8,13342762862767e-05
120;0,00916731468355296;0,00831370220638436;0,00662343160462469;0,00385945857418421;0,00209273414005427;0,000921563594392621;0,000180445151455174;6,27183990046634e-05
140;0,00921113767442117;0,00827798015449671;0,00655477566541925;0,00377879638943191;0,00204802924610125;0,000923983747826488;0,000190279067950538;6,70034092043905e-05
160;0,00929239765111665;0,00829562306713874;0,0064628687847511;0,00359422809839099;0,00185508142904678;0,000777353985660144;0,000145841203848696;5,02950489763917e-05
180;0,00878797968624814;0,00789037257353336;0,00611895945940645;0,00337818849078803;0,00174722093801041;0,000736248177125836;0,000138850453062898;4,79286039322114e-05
200;0,00886988029789919;0,00778463450215247;0,0059810859102616;0,00336858448153688;0,00181867211015054;0,00081014129063979;0,000161535436913114;5,63711257147179e-05
300;0,00876207117115651;0,00755663088480523;0,00563582759026496;0,00297590498941137;0,00150862804688494;0,000630197748049235;0,000118419190225286;4,08573446429777e-05
400;0,00874411009152212;0,00743145174862188;0,00544539155874921;0,00279287097532925;0,00137405028761121;0,000558010725703697;0,000102651649119527;3,52913794190128e-05
500;0,00872237815078245;0,00736337705533868;0,00539621292921834;0,00278320504149763;0,00138744337073298;0,000573892504620245;0,000107364439490843;3,70241771203315e-05
600;0,00829445817792195;0,00689264817464552;0,00493529281309362;0,00250700731628648;0,00125889568002518;0,00052833775293394;0,000100275255271784;3,46730203631318e-05
700;0,00851452416231558;0,00691797027981382;0,0048487482626953;0,00238077796141923;0,00114651470356296;0,000459305279610451;8,37785665133609e-05;2,87646368442738e-05
800;0,00846854200599899;0,00669342804501819;0,00454023384327959;0,00214482870700791;0,00102603329575845;0,000413949647621051;7,6187214846428e-05;2,62024609489775e-05
900;0,00817133021936074;0,00655297103015593;0,00453007560723268;0,0021720220434636;0,00102717829988797;0,000406497325884048;7,36054114972131e-05;2,52437391267293e-05
1000;0,00830699229159195;0,00665075089477221;0,00462034930905118;0,00226128469470711;0,00109411189266501;0,000441451359759551;8,10103048566411e-05;2,78431805419477e-05
1200;0,00797890062378633;0,00613584354915719;0,00405797657544344;0,00188174201101343;0,000891808839856058;0,000356682649836657;6,51993816153099e-05;2,23973467697135e-05
1500;0,00794969998465413;0,00612915298207172;0,00406908447378112;0,00185432581698295;0,000851757510743743;0,000331158564982488;5,93570928404714e-05;2,0326237948711e-05
2000;0,00793521306563519;0,00601861350311123;0,0039253737551099;0,00174653722180794;0,000790604889712515;0,000304699206290837;5,4348893859803e-05;1,85979284352862e-05
