"distance";"mean mortality class 1";"mean mortality class 2";"mean mortality class 3";"mean mortality class 4";"mean mortality class 5";"mean mortality class 6";"mean mortality class 7";"mean mortality class 8"
0,2;0,932705133570519;0,917359457669785;0,881544947441091;0,776196753318439;0,599111273431133;0,282685278061609;0,0138469066654994;0,00148423891369321
0,5;0,903697757322371;0,878354278304079;0,826875742124818;0,683989824702135;0,45916557640416;0,155330740024381;0,00552159846216805;0,000583061995626644
1;0,904012383800122;0,876034841245812;0,818030190863518;0,637312679421722;0,363205665046071;0,0919947283997985;0,00278763575246812;0,000292779687859177
2;0,899883635500566;0,858406455643918;0,78077734246913;0,561122365516874;0,271572439455054;0,0552395161121002;0,00154067235720792;0,000161427842487699
5;0,890105735761413;0,840519531337933;0,741129564798338;0,4496949560939;0,157175749779162;0,0244972601765634;0,000639031189237181;6,68410801182157e-05
10;0,865024037676315;0,796908715481075;0,664677918655344;0,33305571914814;0,0905880888648765;0,0124238383486439;0,000316496461132468;3,3085859985938e-05
15;0,869576309539683;0,794180648915136;0,64514265532143;0,283966949772876;0,0675415319122981;0,0088036384696044;0,000222432947349369;2,32481540776001e-05
20;0,869160325513214;0,779412122531032;0,613820085461557;0,243171294862996;0,0530307750220976;0,00673062422575437;0,000169375736959875;1,77010888797517e-05
30;0,855760238192197;0,761485750754859;0,57442946384639;0,195696620375842;0,0385484277665396;0,00475793103713014;0,000119248059940699;1,24611815651641e-05
40;0,823427358942201;0,723716766700308;0,528804358495565;0,159967571501776;0,0293984338483475;0,00356903513529046;8,9243602705049e-05;9,3252773347347e-06
50;0,818710254423654;0,698843137903906;0,479733879964336;0,125589960697124;0,0217455581993744;0,00260761514758045;6,50942045949691e-05;6,80158708511421e-06
60;0,821531173115929;0,701305086936826;0,477833330434486;0,120472000755351;0,0204173470819941;0,00243701580523234;6,07969760213291e-05;6,35248408996559e-06
70;0,814854893902644;0,675920145653018;0,432615656257487;0,0987049348274099;0,0162702469205666;0,00193216553107215;4,81697867714919e-05;5,03303104066688e-06
80;0,820283418261181;0,68829923145054;0,441856488515538;0,0967971402010125;0,0156573162907781;0,00185254036297375;4,61619267811885e-05;4,82318476352725e-06
100;0,812266694368112;0,666495731366997;0,402105181345081;0,0792352097998604;0,0124407294020385;0,00146414104151646;3,6458083575891e-05;3,80922663803981e-06
120;0,773760328382221;0,614854097689632;0,356883810611838;0,0657693583942325;0,0101350685657335;0,00118890444677639;2,95918309783601e-05;3,09179403647993e-06
140;0,765377637164901;0,600572107537347;0,330687152911974;0,0561007050072056;0,00848421249761224;0,000992136548726555;2,46841982738527e-05;2,57901392987062e-06
160;0,737461937408043;0,568568776192446;0,304036766425257;0,0491823658015961;0,0073586196832338;0,000858993665794921;2,13667219029392e-05;2,23239109094134e-06
180;0,756875012016173;0,577002940445381;0,298027143712744;0,0462161087183453;0,00686218527347355;0,000800073208464164;1,98980084830228e-05;2,07893274429413e-06
200;0,738223067268224;0,552009828826621;0,274934376584926;0,040706471429219;0,00598835882447205;0,000697153763854821;1,73350349428555e-05;1,8111467270665e-06
300;0,73377908486273;0,519770091548974;0,227199745330744;0,029132046824539;0,00418488306718959;0,000485405841428205;1,20641081571769e-05;1,26043203472475e-06
400;0,700467878234581;0,475131105528857;0,190909278066542;0,0225970168973383;0,00320868177429373;0,000371524612575451;9,23166887774457e-06;9,64499931205061e-07
500;0,676481162067191;0,438861752798202;0,164359910250941;0,018461750216966;0,00260372923944373;0,000301174295730089;7,48263161180903e-06;7,81762914800172e-07
600;0,664915875483534;0,414248710414332;0,145831339607447;0,0156566687720366;0,00219582065302758;0,000253782439625883;6,30452467558647e-06;6,58676253450889e-07
700;0,634311502090677;0,385879434968448;0,130367769847773;0,0136363817953954;0,00190680091681215;0,000220283358706984;5,47202948673424e-06;5,71699138927076e-07
800;0,621078381072518;0,36283255862175;0,115418730726031;0,0116712020992538;0,00162608440983844;0,00018775472187552;4,66367704087332e-06;4,87244462694497e-07
900;0,620989279676388;0,349359747693921;0,10601666833902;0,0104678260076875;0,00145478899187876;0,000167915666278396;4,17069913217696e-06;4,35739419700096e-07
1000;0,617446869166181;0,344703110873467;0,102722603923436;0,0100309390661021;0,00139244455774918;0,000160692617411162;3,99120689621394e-06;4,16986521820098e-07
1200;0,566095342763565;0,295945390678518;0,0824586703311705;0,00781663241707969;0,00108190122064677;0,000124802632874956;3,09962323506463e-06;3,23836767502013e-07
1500;0,54631504728268;0,269953678117526;0,0701398439477479;0,00645083803031681;0,000890288516186191;0,000102656831299468;2,54947190299716e-06;2,66358744040611e-07
2000;0,508273176051331;0,229213937150973;0,054651739544257;0,00487172493373516;0,000670449791539975;7,727665675597e-05;1,91905951727448e-06;2,00495516229816e-07
