"distance";"SD mortality class 1";"SD mortality class 2";"SD mortality class 3";"SD mortality class 4";"SD mortality class 5";"SD mortality class 6";"SD mortality class 7";"SD mortality class 8"
0,2;0,190239105375607;0,209064343230236;0,240604653822154;0,306364021420698;0,354011427274509;0,273593983738445;0,0190291922428407;0,00207273252455835
0,5;0,245697971030151;0,26448492063157;0,294886180693932;0,354687046922831;0,356787596381683;0,185489155996801;0,00803693164129446;0,000854185251551944
1;0,237967319633179;0,264179530232971;0,299599600224219;0,353434596092367;0,315517849232001;0,116474086837046;0,00398211383377287;0,000419657265359672
2;0,2361855848089;0,266648080397465;0,315258402806191;0,364700882508057;0,272340716595915;0,0729767856199961;0,00217668868528844;0,000228456891496945
5;0,241565092225745;0,27733856268488;0,326105511688416;0,33757645073929;0,177554649641906;0,0328567408948187;0,000883871389903451;9,25197572550588e-05
10;0,260660243282533;0,303666806626343;0,352709832112067;0,305633103298263;0,114858237497843;0,0174621013242888;0,000451946146822549;4,72631868906719e-05
15;0,257083614586801;0,300620409620693;0,347196157760007;0,270506151774576;0,0851235933820214;0,0119445279754934;0,000305130836728388;3,18996460400311e-05
20;0,2382901406888;0,298340507260424;0,351062152816088;0,244492787857938;0,0683405780816088;0,0092128641790022;0,00023387737833098;2,44469559081839e-05
30;0,263039535629811;0,315785439655398;0,349915942617045;0,20828192441865;0,05004003892848;0,00643852906401128;0,000162297192504924;1,69619528341675e-05
40;0,290205316562401;0,342665353388017;0,359222077488553;0,180646754026429;0,0390004619165989;0,004886151534652;0,000122707199681123;1,28232521143751e-05
50;0,284186332094083;0,338170549339558;0,349312529193663;0,151153450240746;0,0301871729913684;0,00371792048864711;9,31437331774554e-05;9,73323940013395e-06
60;0,289160854275387;0,337098843842126;0,346148857815426;0,139807541996515;0,0267851369985849;0,00326808284833774;8,17686332582949e-05;8,54432437628801e-06
70;0,277870179028537;0,336076888119567;0,334963959625632;0,124495321745335;0,0230565112981219;0,0027945267060456;6,9854726293763e-05;7,2992329469468e-06
80;0,285838058847843;0,333884530717421;0,328138833958526;0,113914386004413;0,0204472903863917;0,00246285681217118;6,15113890275336e-05;6,42730204677264e-06
100;0,290895467961007;0,334959678018525;0,315237302403974;0,096790667518651;0,016584857671595;0,00197985678437129;4,93922881237583e-05;5,16084575263378e-06
120;0,314127695544875;0,358075871663001;0,318119365570243;0,0860655576994197;0,0142257682450682;0,00168788753697626;4,20733415077139e-05;4,3960273151445e-06
140;0,322218420837875;0,356678324499332;0,300724151322915;0,0737337377065414;0,0118695162494888;0,0014019194529244;3,49245942670565e-05;3,649041773805e-06
160;0,334233892281502;0,370083784679105;0,297056827829057;0,0672959208214105;0,0106319204142719;0,00125159010384618;3,11659960971704e-05;3,25629811207086e-06
180;0,313320626130345;0,354095205687172;0,281618725613908;0,0616970629751816;0,00966630848919254;0,0011365913990694;2,82980996655125e-05;2,95664330193018e-06
200;0,328215840429973;0,358602772013599;0,273535920420449;0,055430406060585;0,00853759191134788;0,00100084556706221;2,490856685908e-05;2,60247453916467e-06
300;0,325921376267704;0,342175642713914;0,230276704516702;0,0387025025799688;0,00575300305747086;0,000670683219790607;1,66798806463351e-05;1,74270413255798e-06
400;0,337327182659004;0,344064308768734;0,205690139718696;0,03045648239664;0,00443772988557333;0,000515771509606899;1,2822105815963e-05;1,3396338502877e-06
500;0,344837445477528;0,337339342949885;0,185965890765479;0,0254002127002354;0,00365869138742167;0,000424514063360598;1,05511472726854e-05;1,10236214726417e-06
600;0,335837957118173;0,32835594323496;0,16754991108963;0,0212575753185685;0,00303277331540459;0,000351380816715058;8,73185216066788e-06;9,12282149926664e-07
700;0,357489997863082;0,328736262902175;0,157128668570841;0,019114366888815;0,00271395351774053;0,000314216344904492;7,80757363995874e-06;8,15714056061677e-07
800;0,359383864984584;0,317030555258997;0,141269535294757;0,0163856028330903;0,00231388267014098;0,000267687923076862;6,65078680505772e-06;6,94854553210988e-07
900;0,351700864860941;0,302854453308465;0,128802794395759;0,0144666537851836;0,00203525740463268;0,000235320347221296;5,84618365910616e-06;6,10790984560023e-07
1000;0,349486546556808;0,299539992183404;0,122717123419142;0,0134927086313519;0,0018938238899157;0,000218899425436518;5,43800917425256e-06;5,68145662886576e-07
1200;0,362917558553899;0,289007036094581;0,108134493184764;0,0113512713528404;0,00158575005563532;0,000183164670396641;4,54987624417213e-06;4,75355463234097e-07
1500;0,360846357436093;0,2684792957583;0,0905000275929578;0,00905149978481326;0,00125856248886938;0,000145274202081261;3,60835261452816e-06;3,76987564058562e-07
2000;0,360042215049545;0,241222679710156;0,0727347039223267;0,00694522605814284;0,000961389287746192;0,000110901985855639;2,75438706279037e-06;2,87767821445379e-07
