"distance";"mean mortality class 1";"mean mortality class 2";"mean mortality class 3";"mean mortality class 4";"mean mortality class 5";"mean mortality class 6";"mean mortality class 7";"mean mortality class 8";"median mortality class 1";"median mortality class 2";"median mortality class 3";"median mortality class 4";"median mortality class 5";"median mortality class 6";"median mortality class 7";"median mortality class 8";"SD mortality class 1";"SD mortality class 2";"SD mortality class 3";"SD mortality class 4";"SD mortality class 5";"SD mortality class 6";"SD mortality class 7";"SD mortality class 8";"SDERR mortality class 1";"SDERR mortality class 2";"SDERR mortality class 3";"SDERR mortality class 4";"SDERR mortality class 5";"SDERR mortality class 6";"SDERR mortality class 7";"SDERR mortality class 8"
0,2;0,94745067387583;0,92870619284977;0,895390541719597;0,806144863960725;0,67391223696719;0,462953796986524;0,140523898381584;0,0535468853020809;0,999701947247357;0,998327474093962;0,991347280482743;0,940192101380918;0,806001106823009;0,539312202859902;0,149494576503926;0,0552856038421423;0,187918604214435;0,203986638957727;0,228147179323943;0,267457534985519;0,280436088847898;0,238895850273044;0,0890478040750296;0,0354281434755411;0,0059425080403733;0,00645062391348853;0,00721464728406534;0,0084577498792841;0,00886816778868702;0,00755455010425377;0,00281593881513517;0,00112033626653944
0,5;0,915156859245541;0,890047038772046;0,845728656226674;0,730480673279711;0,572519503446562;0,355550979412008;0,0935347949399115;0,0343813766130926;0,999230720536566;0,995862688332446;0,980502784586084;0,884875587484904;0,69206014863716;0,405745543259786;0,0971817949403372;0,0350133809433402;0,241554676124784;0,256033472643324;0,276481433479834;0,300815349615288;0,286025680760601;0,210944194526874;0,0642982004629371;0,0243081596586665;0,00763862956018611;0,00809648930795314;0,00874311060544609;0,00951261659924167;0,00904492620503702;0,00667064113894548;0,00203328762912974;0,000768691502484073
1;0,916721147116522;0,887494954828831;0,835009665646935;0,69599156664981;0,51479136149416;0,294598020156955;0,070464813635448;0,0253602705910852;0,998473642118337;0,992036457149316;0,964624664877971;0,827945612655676;0,598922094908171;0,322997086559319;0,0716416439745526;0,0253488396141201;0,233494187412939;0,251653582334058;0,273667177420905;0,290147325531796;0,259643941417613;0,174064476551422;0,047079234812377;0,0173156296992845;0,00738373452635107;0,00795798501516335;0,00865411601479463;0,009175264056868;0,00821066235542985;0,00550440205627465;0,00148877612505001;0,000547568289697956
2;0,910247238289263;0,872593765631963;0,806609400191165;0,643263708723202;0,449813074490719;0,240826204900788;0,0538970185022728;0,0191443487060102;0,997702896331873;0,988362494655203;0,950852587976208;0,774113244872842;0,522535545863021;0,261010241826356;0,0545842556688296;0,019126678787909;0,232422208585278;0,253461441457147;0,279632297199003;0,290836171884868;0,244183357631209;0,149670622707646;0,0368040771455396;0,0132795156169486;0,0073498355793622;0,00801515454034013;0,00884274966493973;0,0091970472912041;0,00772175576822079;0,0047330006657188;0,00116384710960454;0,000419935155733338
5;0,90316642000063;0,857835453675994;0,775020241254108;0,574224314589856;0,365928910149218;0,177880610877623;0,0366922073735471;0,0128438291460897;0,995034348104715;0,976744239649441;0,911589175537864;0,67771273240594;0,410280655432316;0,18789245168365;0,037100355935872;0,0128845497482659;0,236844930823054;0,258193038598865;0,279521846079018;0,26779304237205;0,201193534975181;0,109369231149475;0,0242132974141573;0,00856999566602306;0,0074896943366587;0,00816478077972184;0,00883925689384704;0,00846835955441659;0,00636229821022322;0,00345855876373775;0,000765691694918025;0,000271007058424046
10;0,88262561844915;0,822234905482477;0,718304235268563;0,492550989936442;0,291256267223184;0,132799959669901;0,0261506697446896;0,00908399313026663;0,991249345037807;0,961563840012712;0,868891121204055;0,589830434143251;0,332076483005317;0,144066794974183;0,0273311520914708;0,00943593739181209;0,246943878860389;0,273068042928048;0,29075383674218;0,256267566343359;0,174659115510499;0,0869337584472247;0,0180252617170883;0,00631122383704718;0,00780905111435534;0,00863516971857267;0,00919444362538041;0,00810389200073323;0,00552320619123618;0,00274908682252133;0,000570008824466366;0,000199578421482165
15;0,884063289205542;0,81866075521751;0,704865322705399;0,464650780794644;0,264377964230102;0,116896442340803;0,0225429588951362;0,0078040561287223;0,987692095119342;0,948446346353596;0,836646956400108;0,537480540068309;0,29043110594409;0,122745314363847;0,0229293552492851;0,00789708532727743;0,238844273387388;0,266517450961816;0,281355412101976;0,237800075893457;0,154763786403734;0,074078297093418;0,0149412188659551;0,00520724801656035;0,00755291909992087;0,00842802181221572;0,00889723934257547;0,00751989867584225;0,004894060643476;0,00234256144001832;0,000472482826354962;0,000164667640737249
20;0,884617758182729;0,810737228754545;0,68575642837536;0,436184807537335;0,241042158422174;0,104342594230423;0,0198496207380615;0,0068571100020924;0,985955931713423;0,941429518725421;0,817570623932733;0,50951749340811;0,270550626437715;0,113023394092832;0,0210287801433683;0,00723577894288996;0,225703058067609;0,257776491034947;0,275044256363835;0,226272931957062;0,142293426956961;0,0662810284337128;0,0131315508054594;0,00456363798870982;0,00713735738358887;0,00815160838916406;0,00869766307456981;0,00715537837828616;0,004499713252548;0,00209599015508915;0,000415256097554705;0,000144314904607928
30;0,871102924302362;0,791563265437673;0,657239663301609;0,400226967461773;0,213551880638285;0,0901571115062135;0,0168937409506365;0,00582253868167497;0,979791776381391;0,922291092521147;0,778522888587432;0,456061340028867;0,230590975384289;0,0936835667446918;0,0171455511763935;0,00589184286636713;0,241364435300752;0,26918137388936;0,275482049047265;0,212281346734038;0,127262793564184;0,0572679621272215;0,0111091222991918;0,00384822414912573;0,00763261361710725;0,00851226245183755;0,00871150729479576;0,00671292560447507;0,0040244028905864;0,00181097197278281;0,000351301292708126;0,000121691532581008
40;0,845483736395775;0,76019814157579;0,620566702997697;0,365304533022731;0,190057665953744;0,078896017342326;0,014635921691716;0,00503663174088969;0,974497233167211;0,906228221509556;0,745135387937622;0,41574411071743;0,205031813709093;0,0818824751154829;0,0148859146906653;0,00510737902036695;0,266597858774168;0,28991510757523;0,285868210712779;0,206543290705697;0,118605125077786;0,0519348908160361;0,00991121567009401;0,00342470104599585;0,00843056453050275;0,00916792068030462;0,00903994656489329;0,00653147234056288;0,00375062337414959;0,00164232545010835;0,000313420158986491;0,00010829855610508
50;0,840963598744805;0,744729033285254;0,591903191689849;0,332623643491156;0,167997083206222;0,0684853484069399;0,0125715953500769;0,00431955850578351;0,96702494234566;0,884860007998215;0,702396171523057;0,371821846870365;0,178274087850759;0,0700681940846082;0,0125902165827808;0,004312933177065;0,26000507112285;0,281709537146013;0,274015536052723;0,190267342927906;0,105942027160022;0,0454736309098131;0,0085757672299357;0,00295808755759208;0,00822208227942278;0,00890843775973211;0,00866513208198589;0,00601678168000512;0,00335018105761089;0,00143800247152844;0,000271189571300297;9,35429420019548e-05
60;0,841249958557673;0,746006525930304;0,592273859808552;0,33055006384958;0,165794423911891;0,067284152799972;0,0123172777045899;0,00423044223698813;0,970001726481519;0,891206648573094;0,714275863470728;0,383555969532543;0,184305533860559;0,0727219374060348;0,0130959251704491;0,00448575700375137;0,2630043737794;0,282440586671977;0,272118343008096;0,185749903890582;0,101977551599861;0,0433628205444235;0,00813304735535656;0,00280304688888408;0,0083169285572917;0,00893155557557643;0,00860513757016538;0,0058739277145161;0,00322481333262909;0,00137125278689521;0,000257189539609356;8,8640125571226e-05
70;0,838426682222521;0,730650769633936;0,565255137752947;0,303847523703855;0,149281958835785;0,0598748142316895;0,0108940610922922;0,00373828009090381;0,957675190032189;0,85868745744374;0,658395691036375;0,332187174013901;0,154702706388776;0,0602215228218818;0,0107724541956061;0,00368673876154038;0,246560541688726;0,271194829892518;0,261130200683176;0,174601050310053;0,0944070102490093;0,0397781368524038;0,00742415954515955;0,00255685212191416;0,00779692892861274;0,00857593352122272;0,00825766200015693;0,00552137000837416;0,00298541179473729;0,00125789513531477;0,000234772538751839;8,08547634548326e-05
80;0,83973205565177;0,736722891096163;0,572419976561851;0,306993181529008;0,150156954624814;0,0600293684898072;0,010898844364199;0,00373868233959354;0,962522641825269;0,870042245481222;0,677679814148244;0,346872288004009;0,163530769109952;0,0637126655004569;0,0114091895817275;0,00390512282117497;0,256932859075343;0,274909430064123;0,259319506327689;0,169257962557756;0,0902318980639212;0,0376869961911898;0,00699803622728306;0,00240825728534845;0,00812493040417148;0,00869339949261398;0,00820040281705943;0,00535240673802006;0,00285338315482128;0,0011917674613425;0,000221297336265862;7,61557821339514e-05
100;0,831607454980193;0,721131134600847;0,548756340965509;0,284731340713162;0,13664887547069;0,0540448874422797;0,00975488108350969;0,00334347771164454;0,951415580094866;0,843187803134042;0,632423534660206;0,308307515674277;0,141912899293718;0,05456062684807;0,00969736493067682;0,003316050219446;0,259681701813928;0,273240826274405;0,251825951015949;0,158509661117973;0,0826563037751841;0,0340775026043682;0,00628137164110746;0,00215940017228253;0,00821185644400692;0,00864063360773501;0,00796343579148393;0,00501251560274225;0,00261382182900356;0,00107762525200123;0,000198634412158893;6,82862292417278e-05
120;0,800248842756028;0,682265729901044;0,509349050789975;0,257973219164302;0,122232361072518;0,0480002310579371;0,00863214896478718;0,00295706609881667;0,940943253875544;0,818096491371139;0,598835594030003;0,280773462251216;0,127676742226207;0,0488828040360694;0,00866772756567086;0,00296322000608298;0,279157340595268;0,289432430312554;0,260512177664197;0,157783359281005;0,0804737372772324;0,0327644686541288;0,00600012388690613;0,00206068801381446;0,00882773021836431;0,0091526570850563;0,00823811839629306;0,00498954792200643;0,00254480301622051;0,00103610347272239;0,000189740577258059;6,51646767066222e-05
140;0,793249902775296;0,670974852082972;0,493242517457348;0,24366125913785;0,113879457203966;0,0443867085416789;0,00795052199431612;0,0027219711424771;0,93217823694424;0,798114022775035;0,570444512793189;0,262083336572429;0,11681048906905;0,0445575649705157;0,00787399600452388;0,00269036766962668;0,283005152715288;0,288059315805421;0,252552968727084;0,147741542013839;0,07401249836155;0,0298416175907345;0,0054362758829199;0,0018656430873632;0,00894940872144096;0,00910923539174872;0,00798642611014861;0,0046719977778919;0,00234048070141978;0,000943674806504673;0,000171910137790697;5,89968145701622e-05
160;0,775316687117011;0,647367304915158;0,469785529687307;0,228527142088316;0,105980749802485;0,0411324167811309;0,00735114650186457;0,00251601369901488;0,923813572539227;0,781957836777795;0,550738383597656;0,24890603052688;0,110755439389579;0,0419218302591012;0,00739399524705878;0,00252577605273796;0,284914919246087;0,293893567148635;0,255406353807276;0,146056886979894;0,0722270403418067;0,0289104755802458;0,005247186235275;0,00179982305286044;0,00900980084180578;0,00929373061861325;0,0080766580690981;0,00461872430810257;0,00228401956132976;0,000914229510722548;0,000165930598105532;5,69154023231661e-05
