"distance";"median mortality class 1";"median mortality class 2";"median mortality class 3";"median mortality class 4";"median mortality class 5";"median mortality class 6";"median mortality class 7";"median mortality class 8"
0,2;0,999701947247357;0,998327474093962;0,991347280482743;0,940192101380918;0,806001106823009;0,539312202859902;0,149494576503926;0,0552856038421423
0,5;0,999230720536566;0,995862688332446;0,980502784586084;0,884875587484904;0,69206014863716;0,405745543259786;0,0971817949403372;0,0350133809433402
1;0,998473642118337;0,992036457149316;0,964624664877971;0,827945612655676;0,598922094908171;0,322997086559319;0,0716416439745526;0,0253488396141201
2;0,997702896331873;0,988362494655203;0,950852587976208;0,774113244872842;0,522535545863021;0,261010241826356;0,0545842556688296;0,019126678787909
5;0,995034348104715;0,976744239649441;0,911589175537864;0,67771273240594;0,410280655432316;0,18789245168365;0,037100355935872;0,0128845497482659
10;0,991249345037807;0,961563840012712;0,868891121204055;0,589830434143251;0,332076483005317;0,144066794974183;0,0273311520914708;0,00943593739181209
15;0,987692095119342;0,948446346353596;0,836646956400108;0,537480540068309;0,29043110594409;0,122745314363847;0,0229293552492851;0,00789708532727743
20;0,985955931713423;0,941429518725421;0,817570623932733;0,50951749340811;0,270550626437715;0,113023394092832;0,0210287801433683;0,00723577894288996
30;0,979791776381391;0,922291092521147;0,778522888587432;0,456061340028867;0,230590975384289;0,0936835667446918;0,0171455511763935;0,00589184286636713
40;0,974497233167211;0,906228221509556;0,745135387937622;0,41574411071743;0,205031813709093;0,0818824751154829;0,0148859146906653;0,00510737902036695
50;0,96702494234566;0,884860007998215;0,702396171523057;0,371821846870365;0,178274087850759;0,0700681940846082;0,0125902165827808;0,004312933177065
60;0,970001726481519;0,891206648573094;0,714275863470728;0,383555969532543;0,184305533860559;0,0727219374060348;0,0130959251704491;0,00448575700375137
70;0,957675190032189;0,85868745744374;0,658395691036375;0,332187174013901;0,154702706388776;0,0602215228218818;0,0107724541956061;0,00368673876154038
80;0,962522641825269;0,870042245481222;0,677679814148244;0,346872288004009;0,163530769109952;0,0637126655004569;0,0114091895817275;0,00390512282117497
100;0,951415580094866;0,843187803134042;0,632423534660206;0,308307515674277;0,141912899293718;0,05456062684807;0,00969736493067682;0,003316050219446
120;0,940943253875544;0,818096491371139;0,598835594030003;0,280773462251216;0,127676742226207;0,0488828040360694;0,00866772756567086;0,00296322000608298
140;0,93217823694424;0,798114022775035;0,570444512793189;0,262083336572429;0,11681048906905;0,0445575649705157;0,00787399600452388;0,00269036766962668
160;0,923813572539227;0,781957836777795;0,550738383597656;0,24890603052688;0,110755439389579;0,0419218302591012;0,00739399524705878;0,00252577605273796
180;0,92500088930074;0,781972994119245;0,547143498829802;0,244389361782792;0,107948576937553;0,0408498385389509;0,0072048217777903;0,00246086369032195
200;0,913218165907851;0,760155429335853;0,522199205201134;0,22821054353146;0,099945416914246;0,0375858015067985;0,00660779829118283;0,00225682453106707
300;0,899395489711591;0,732843482887553;0,487571021046973;0,2060629393924;0,0887657954251646;0,033178341133733;0,00581875724809397;0,00198622614562205
400;0,884411443039515;0,701682541780388;0,454899792929297;0,18638666112934;0,0798100961708529;0,0297278687304215;0,00519593068037446;0,00177281534778786
500;0,865824188522192;0,670223662296591;0,420971523720537;0,167229018891525;0,0706962589634416;0,0262077531129837;0,00458079437272222;0,00156291027737923
600;0,853261175590829;0,65086176064233;0,404116891536697;0,159224093943033;0,0670131036703698;0,0248091688871818;0,00433233274085687;0,00147750784852335
700;0,841329077657955;0,628894148196262;0,381151057124565;0,147773041973536;0,0617201979566977;0,0227459642368462;0,00395750998721059;0,0013493757688236
800;0,818411832174633;0,600942746981476;0,353466804108263;0,135332763865085;0,0561242974534455;0,0206360164772705;0,00358887821835868;0,00122367344130067
900;0,812152391999689;0,588656105047185;0,345198037767987;0,130430477373067;0,0540397844796187;0,0198333586332771;0,0034422858708928;0,00117325280385377
1000;0,81631050423812;0,596776779519526;0,351384520451804;0,132454703962788;0,0549571372840992;0,0201886263582285;0,00350729479880083;0,00119562408783802
1200;0,774882287195774;0,542252776591096;0,306869059577755;0,112010834751786;0,0458265794935935;0,0167152155262746;0,00289639187205129;0,000986937060185988
1500;0,767567503668737;0,528982437692659;0,294798106234279;0,106763810555345;0,0435857650832397;0,0158917840288613;0,00275498205685124;0,000938757661591461
2000;0,732755377365025;0,490518362140021;0,266620952043281;0,0946539046516645;0,0383643359491447;0,0139444003623905;0,00241298014476918;0,000822061758965764
